depth_m,qc_MPa,fs_kPa,inclination_degree,s_wave_travel_time_ms,point_id,utm_x_m,utm_y_m,elevation_m,total_depth_m,water_depth_m,Rf_percent
5.9,7.3,36.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5013698630136987
6.0,6.4,31.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.49375
6.1,5.7,25.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4421052631578947
6.2,6.5,26.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4030769230769231
6.3,7.6,32.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4328947368421053
6.4,7.4,30.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4175675675675675
6.5,7.2,33.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.46666666666666673
6.6,6.8,27.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4044117647058824
6.7,6.5,33.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5107692307692308
6.8,8.8,48.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5488636363636363
6.9,8.9,56.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6337078651685394
7.0,8.4,47.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5595238095238095
7.1,9.1,48.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5274725274725275
7.2,9.3,43.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.46236559139784944
7.3,8.7,37.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.432183908045977
7.4,8.2,37.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.45487804878048776
7.5,6.3,29.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4634920634920635
7.6,6.7,30.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4552238805970149
7.7,7.3,35.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4876712328767124
7.8,7.1,35.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5056338028169014
7.9,7.7,39.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5142857142857143
8.0,7.4,43.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5891891891891892
8.1,7.0,40.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5842857142857143
8.2,8.1,32.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.3975308641975309
8.3,8.3,41.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5012048192771085
8.4,5.9,44.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7508474576271187
8.5,3.1,38.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.2354838709677418
8.6,2.0,15.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7549999999999999
8.7,1.9,6.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.3157894736842105
8.8,1.9,13.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7052631578947368
8.9,1.4,18.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.342857142857143
9.0,0.7,6.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.9142857142857144
9.1,1.0,1.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.16999999999999998
9.2,1.7,11.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6705882352941177
9.3,3.5,15.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.44
9.4,4.0,17.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.43750000000000006
9.5,4.1,15.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.36829268292682926
9.6,2.9,34.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.203448275862069
9.7,0.9,12.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.3777777777777778
9.8,0.5,22.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,4.5600000000000005
9.9,1.0,15.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.58
10.0,0.6,10.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.6833333333333331
10.1,7.2,19.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.275
10.2,8.9,24.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.2752808988764045
10.3,8.9,32.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.36629213483146067
10.4,8.3,30.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.3674698795180723
10.5,10.4,38.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.36826923076923074
10.6,11.3,32.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.2911504424778761
10.7,12.3,37.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.30569105691056914
10.8,10.3,32.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.3194174757281553
10.9,6.6,15.8,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.2393939393939394
11.0,4.9,6.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.13673469387755102
11.1,4.6,8.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.17608695652173914
11.2,4.3,16.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.37441860465116283
11.3,4.4,19.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.43409090909090914
11.4,4.5,19.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.4333333333333333
11.5,3.5,4.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.13428571428571429
11.6,2.9,3.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.11724137931034484
11.7,3.7,17.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.472972972972973
11.8,2.5,39.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.584
11.9,1.2,50.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,4.191666666666666
12.0,1.1,38.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,3.536363636363636
12.1,0.9,30.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,3.355555555555555
12.2,1.0,39.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,3.9600000000000004
12.3,1.0,35.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,3.5900000000000003
12.4,1.1,43.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,3.909090909090909
12.5,1.0,54.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,5.4399999999999995
